NumBins,NumTrees,MaxDepth,MaxFeatures,Accuracy,Loss
512,256,4,log2,0.773333333,0.226666667
512,256,4,,0.72,0.28
512,256,8,sqrt,0.78,0.22
512,256,8,log2,0.793333333,0.206666667
512,256,8,,0.746666667,0.253333333
512,256,16,sqrt,0.78,0.22
512,256,16,log2,0.806666667,0.193333333
512,256,16,,0.746666667,0.253333333
512,256,32,sqrt,0.78,0.22
512,256,32,log2,0.806666667,0.193333333
512,256,32,,0.746666667,0.253333333
512,256,64,sqrt,0.78,0.22
512,256,64,log2,0.806666667,0.193333333
512,256,64,,0.746666667,0.253333333
512,256,,sqrt,0.78,0.22
512,256,,log2,0.806666667,0.193333333
512,256,,,0.746666667,0.253333333
512,512,2,sqrt,0.66,0.34
512,512,2,log2,0.686666667,0.313333333
512,512,2,,0.633333333,0.366666667
512,512,4,sqrt,0.773333333,0.226666667
512,512,4,log2,0.78,0.22
512,512,4,,0.746666667,0.253333333
512,512,8,sqrt,0.806666667,0.193333333
512,512,8,log2,0.793333333,0.206666667
512,512,8,,0.76,0.24
512,512,16,sqrt,0.806666667,0.193333333
512,512,16,log2,0.786666667,0.213333333
512,512,16,,0.766666667,0.233333333
512,512,32,sqrt,0.806666667,0.193333333
512,512,32,log2,0.786666667,0.213333333
512,512,32,,0.766666667,0.233333333
512,512,64,sqrt,0.806666667,0.193333333
512,512,64,log2,0.786666667,0.213333333
512,512,64,,0.766666667,0.233333333
512,512,,sqrt,0.806666667,0.193333333
512,512,,log2,0.786666667,0.213333333
512,512,,,0.766666667,0.233333333
512,1024,2,sqrt,0.666666667,0.333333333
512,1024,2,log2,0.68,0.32
512,1024,2,,0.613333333,0.386666667
512,1024,4,sqrt,0.773333333,0.226666667
512,1024,4,log2,0.766666667,0.233333333
512,1024,4,,0.746666667,0.253333333
512,1024,8,sqrt,0.806666667,0.193333333
512,1024,8,log2,0.8,0.2
512,1024,8,,0.766666667,0.233333333
512,1024,16,sqrt,0.8,0.2
512,1024,16,log2,0.786666667,0.213333333
512,1024,16,,0.76,0.24
512,1024,32,sqrt,0.8,0.2
512,1024,32,log2,0.786666667,0.213333333
512,1024,32,,0.76,0.24
512,1024,64,sqrt,0.8,0.2
512,1024,64,log2,0.786666667,0.213333333
512,1024,64,,0.76,0.24
512,1024,,sqrt,0.8,0.2
512,1024,,log2,0.786666667,0.213333333
512,1024,,,0.76,0.24
512,2048,2,sqrt,0.666666667,0.333333333
512,2048,2,log2,0.673333333,0.326666667
512,2048,2,,0.62,0.38
512,2048,4,sqrt,0.786666667,0.213333333
512,2048,4,log2,0.78,0.22
512,2048,4,,0.733333333,0.266666667
512,2048,8,sqrt,0.82,0.18
512,2048,8,log2,0.806666667,0.193333333
512,2048,8,,0.773333333,0.226666667
512,2048,16,sqrt,0.82,0.18
512,2048,16,log2,0.806666667,0.193333333
512,2048,16,,0.773333333,0.226666667
512,2048,32,sqrt,0.82,0.18
512,2048,32,log2,0.806666667,0.193333333
512,2048,32,,0.773333333,0.226666667
512,2048,64,sqrt,0.82,0.18
512,2048,64,log2,0.806666667,0.193333333
512,2048,64,,0.773333333,0.226666667
512,2048,,sqrt,0.82,0.18
